Season,AvgMaxTemp,AvgMinTemp,TotalPrecip,TotalSnowfall,Total_Days_6in_Base,MaxRolling5Year,MinRolling5Year
1900,25.833333333333332,8.933333333333334,2.3,17.099999999999998,4,,
1901,24.31111111111111,8.277777777777779,0.9400000000000001,14.6,0,,
1902,25.566666666666666,9.577777777777778,1.37,16.900000000000002,0,,
1903,23.522222222222222,6.4,3.3300000000000005,30.8,22,,
1904,16.32967032967033,0.5054945054945055,1.8200000000000007,30.0,26,23.112600732600733,6.738876678876679
1905,21.244444444444444,4.955555555555556,1.9100000000000006,29.800000000000004,17,22.194822954822953,5.943321123321123
1906,28.255555555555556,12.1,1.9600000000000002,24.099999999999998,17,22.98371184371184,6.707765567765567
1907,22.944444444444443,6.566666666666666,2.4499999999999993,33.0,32,22.4592673992674,6.105543345543346
1908,30.494505494505493,13.736263736263735,2.05,25.900000000000006,8,23.853724053724054,7.572796092796094
1909,25.833333333333332,9.866666666666667,4.84,50.40000000000002,37,25.754456654456654,9.445030525030527
1910,20.822222222222223,5.533333333333333,3.97,39.400000000000006,82,25.67001221001221,9.56058608058608
1911,25.9,8.577777777777778,1.9100000000000006,20.200000000000003,16,25.198901098901096,8.856141636141636
1912,18.747252747252748,4.43956043956044,2.58,25.5,46,24.35946275946276,8.43072039072039
1913,25.91111111111111,7.511111111111111,3.0900000000000003,33.300000000000004,11,23.442783882783885,7.185689865689865
1914,28.122222222222224,12.366666666666667,1.33,14.5,0,23.900561660561667,7.685689865689865
1915,23.177777777777777,9.677777777777777,3.7499999999999996,31.200000000000003,33,24.37167277167278,8.514578754578753
1916,23.021978021978022,6.318681318681318,3.6599999999999997,38.80000000000001,48,23.796068376068384,8.062759462759463
1917,17.144444444444446,-0.2222222222222222,2.9799999999999995,50.100000000000016,67,23.47550671550672,7.130402930402932
1918,18.788888888888888,2.0,1.3400000000000003,16.4,0,22.051062271062275,6.028180708180709
1919,29.22222222222222,15.955555555555556,4.159999999999999,20.900000000000002,1,22.271062271062274,6.745958485958487
1920,18.494505494505493,4.318681318681318,2.98,31.5,83,21.334407814407818,5.674139194139196
1921,30.155555555555555,16.255555555555556,1.57,18.400000000000002,6,22.76112332112333,7.661514041514043
1922,23.61111111111111,7.166666666666667,4.389999999999998,23.800000000000004,7,24.054456654456665,9.13929181929182
1923,23.766666666666666,7.5,1.6900000000000002,17.700000000000003,28,25.05001221001222,10.23929181929182
1924,27.791208791208792,11.835164835164836,1.5800000000000003,15.9,19,24.763809523809535,9.415213675213677
1925,22.877777777777776,6.811111111111111,1.6999999999999997,19.599999999999998,27,25.640463980463988,9.913699633699634
1926,26.477777777777778,11.38888888888889,2.0400000000000005,16.599999999999998,0,24.904908424908434,8.940366300366302
1927,24.711111111111112,9.333333333333334,2.37,19.9,48,25.124908424908437,9.373699633699635
1928,23.307692307692307,8.263736263736265,4.1499999999999995,29.200000000000003,38,25.03311355311357,9.526446886446887
1929,20.355555555555554,5.166666666666667,3.0799999999999996,33.60000000000001,45,23.545982905982925,8.192747252747253
1930,24.833333333333332,9.433333333333334,3.969999999999998,21.1,26,23.937094017094037,8.717191697191698
1931,33.855555555555554,19.7,0.89,8.6,0,25.412649572649592,10.37941391941392
1932,29.791208791208792,15.351648351648352,3.149999999999999,30.300000000000004,18,26.42866910866913,11.583076923076923
1933,26.933333333333334,9.422222222222222,3.1799999999999997,26.700000000000003,7,27.153797313797337,11.814774114774115
1934,27.38888888888889,10.455555555555556,1.5600000000000003,13.3,0,28.560463980464004,12.872551892551892
1935,24.355555555555554,9.344444444444445,2.88,28.6,65,28.464908424908447,12.854774114774113
1936,14.296703296703297,0.23076923076923078,3.3600000000000003,37.1,56,24.553137973137996,8.960927960927958
1937,22.61111111111111,5.044444444444444,3.4999999999999996,31.000000000000004,53,23.11711843711846,6.899487179487177
1938,24.7,10.455555555555556,2.020000000000001,22.099999999999998,0,22.67045177045179,7.106153846153843
1939,25.377777777777776,7.9222222222222225,2.7100000000000004,27.499999999999996,23,22.268229548229566,6.599487179487177
1940,25.9010989010989,9.725274725274724,2.2500000000000004,18.9,12,22.577338217338234,6.675653235653232
1941,26.244444444444444,10.044444444444444,2.6499999999999995,19.399999999999995,19,24.966886446886463,8.638388278388273
1942,30.27777777777778,14.877777777777778,1.45,15.499999999999996,1,26.500219780219794,10.605054945054942
1943,22.255555555555556,4.555555555555555,2.33,21.700000000000003,51,26.011330891330907,9.425054945054942
1944,32.16483516483517,14.978021978021978,1.34,5.2,0,27.368742368742385,10.836214896214893
1945,24.9,8.166666666666666,2.5599999999999987,24.7,13,27.16852258852261,10.52449328449328
1946,23.5,6.488888888888889,3.5,30.799999999999997,22,26.61963369963372,9.81338217338217
1947,27.477777777777778,10.733333333333333,1.59,15.399999999999999,5,26.059633699633725,8.98449328449328
1948,23.835164835164836,5.3076923076923075,2.12,21.8,34,26.375555555555582,9.13492063492063
1949,24.944444444444443,6.777777777777778,2.46,18.199999999999996,28,24.931477411477438,7.49487179487179
1950,24.133333333333333,4.7555555555555555,2.9399999999999995,31.399999999999995,35,24.778144078144106,6.812649572649567
1951,21.488888888888887,4.311111111111111,4.14,40.69999999999999,81,24.37592185592188,6.377094017094012
1952,25.252747252747252,9.395604395604396,3.459999999999998,41.40000000000001,47,23.930915750915776,6.109548229548224
1953,26.833333333333332,11.866666666666667,2.2300000000000004,25.4,37,24.530549450549476,7.421343101343096
1954,29.866666666666667,12.066666666666666,2.33,10.5,0,25.514993894993918,8.479120879120874
1955,24.822222222222223,9.911111111111111,2.3399999999999994,22.800000000000004,42,25.6527716727717,9.510231990231986
1956,22.12087912087912,4.373626373626373,1.9400000000000006,21.599999999999994,88,25.77916971916975,9.52273504273504
